,jealous,anger,sadness,betrayal,frustration,aggression,guilt,regret,fear,vengeance,hatred
0,She got insanely jealous and there was a terrible fight.,i was angry and furious as she stole my favourite purse ,I feel a deep sadness wash over me when I think about the loss of a loved one.,I never expected them to betray my trust in such a profound way.,I'm incredibly frustrated with the constant technical glitches in this software.,"He clenched his fists tightly, his aggression boiling just beneath the surface.","She carried the weight of guilt in her heart, unable to shake off the burden of her past actions.",He couldn't help but feel a deep sense of regret for the opportunities he had let slip away,"Fear gripped his heart, squeezing it tightly in its icy grasp","Vengeance burned within him like a raging inferno, consuming every thought and driving his actions.","Hatred consumed him, twisting his thoughts and poisoning his heart."
1,She was jealous of his wealth.,Ask your doctor for a referral for anger management.,Seeing old photographs brings back a wave of sadness and nostalgia.,"The feeling of betrayal cut deep, leaving me feeling wounded and hurt.",Dealing with bureaucracy and red tape at work is a major source of frustration for me.,The anger in his eyes was matched only by the aggression in his voice.,"The guilt gnawed at him relentlessly, a constant reminder of the mistakes he had made.","Every time he thought about the past, regret washed over him like a tidal wave",The mere thought of stepping outside filled her with overwhelming fear,"She harbored a thirst for vengeance, her desire for retribution unyielding and unrelenting.","She harbored a deep-seated hatred, her emotions simmering beneath a cold and stoic exterior."
2,You are jealous because the record company rejected your idea.,It's full of anger and resentment against staff and some guys saw their chance.,I can't help but feel a sense of sadness when I witness the suffering of others.,Discovering their secret betrayal shattered the foundation of our relationship.,I can't help but feel frustrated when my efforts go unnoticed and unappreciated.,"She lashed out with an aggressive shove, fueled by frustration and pent-up anger.","Her eyes reflected the deep sorrow of guilt, haunted by the consequences of her choices.","She wished she could turn back time and make different choices, consumed by regret for the path not taken","Fear slithered through his veins, paralyzing him with its suffocating presence","The taste of vengeance was sweet on his lips, a bitter satisfaction in seeing justice served.","The flames of hatred burned within him, fueling his every action with a vengeful purpose."
3,It is important to be kind to a jealous friend.,I'm furious that my hard work was completely overlooked.,The rainy weather matches my mood of sadness and melancholy.,The sense of betrayal I felt when they spread rumors about me was overwhelming.,The lack of progress in this project is causing me great frustration.,His aggressive stance and clenched jaw made it clear he was ready for a fight.,He felt a deep sense of guilt for betraying the trust of those who had believed in him.,"Regret gnawed at his soul, a constant reminder of the chances he had squandered","Her hands trembled with fear, as if they had a will of their own","He plotted his revenge meticulously, each step fueled by a deep-seated desire for vengeance.","He seethed with hatred, his eyes burning with an intensity that could ignite the world."
4,I get jealous when a friend has success?,I can't believe they betrayed my trust like that. It makes me so angry.,I feel a profound sadness when I think about missed opportunities in my life.,Betrayal by a close friend left me questioning my judgment and feeling betrayed.,I feel frustrated when people don't listen to my ideas and dismiss them without consideration.,The venom in his words and the force behind them revealed the depths of his aggression.,"The weight of guilt consumed him, leaving him restless and sleepless at night.","Looking back, he realized the weight of his regret was almost unbearable","The fear in his eyes was palpable, a window into his inner torment","The fire of vengeance blazed in her eyes, a fierce determination to make them pay.","She nurtured her hatred like a venomous serpent, waiting for the perfect moment to strike."
5,She messages me all the time but I still feel jealous and scared.,The constant interruptions are driving me crazy. I'm really angry right now.,The loneliness I experience sometimes fills my heart with sadness.,Their act of betrayal revealed their true colors and left me feeling deceived.,The never-ending traffic jams in this city are a constant source of frustration for me.,"His aggressive behavior escalated quickly, turning a simple disagreement into a full-blown confrontation.","She couldn't escape the suffocating grip of guilt, as it followed her every step.","She carried regret like a heavy burden, the weight of her past mistakes pressing down on her","She could feel the tendrils of fear creeping up her spine, sending shivers down her back","Vengeance fueled his every move, propelling him forward with a single-minded purpose.","Hatred coursed through his veins, turning his blood cold and his heart black."
6,He fancies her like crazy and I feel so jealous.,I'm seething with anger over their rude and disrespectful behavior.,I'm overwhelmed by a deep sadness after a heartbreak and the end of a relationship.,The feeling of betrayal stung like a knife in my back.,I'm growing increasingly frustrated with the lack of communication and transparency in this organization.,The intensity of his aggressive actions left those around him feeling intimidated and fearful.,"His guilt manifested as a knot in his stomach, a constant reminder of his wrongdoing.","The sting of regret lingered, a constant reminder of the irreversible consequences of his actions","Fear clung to her like a shadow, always lurking in the corners of her mind","She vowed to unleash her vengeance upon those who had wronged her, sparing no one in her path.","She was a prisoner of her own hatred, trapped in a cycle of bitterness and resentment."
7,"Of course, it is human nature you sometimes feel jealous.",I'm livid that they canceled our plans at the last minute without any explanation.,Feeling disconnected from others often leads me to a state of sadness.,"I trusted them with my deepest secrets, only to be met with betrayal and betrayal.",It's frustrating when things don't go according to plan despite careful preparation.,"He unleashed a barrage of aggressive insults, attempting to break down his opponent mentally.","The guilt etched lines of remorse on his face, aging him beyond his years.","He was haunted by the ghosts of his past, regret echoing in his every thought","His voice quivered with fear, betraying the calm facade he tried to maintain","The desire for vengeance consumed him, driving him to the edge of obsession.","His hatred knew no bounds, as he swore to make his enemies pay for their transgressions."
8,See how your boyfriend behaves once he has no reason to feel jealous.,Their blatant disregard for the rules infuriates me to no end.,The loss of a cherished dream brings an indescribable sadness to my heart.,Betrayal by a loved one shattered my belief in the goodness of people.,The constant interruptions and distractions are hindering my productivity and causing frustration.,"The aggressive way he charged forward, disregarding any obstacle in his path, was both impressive and terrifying.","She carried the guilt like a heavy anchor, preventing her from moving forward in life.","Regret became the unwelcome companion of his life, shadowing his every move","Fear raced through his mind, clouding his thoughts and stealing his focus","He was a vessel of vengeance, his heart fueled by a burning need to settle the score.","She wore her hatred like armor, shielding herself from the pain of past betrayals."
9,I was jealous of Mary is new bicycle.,I'm boiling with rage after finding out about their dishonesty.,I can't shake off this overwhelming sadness that has been lingering within me.,"The magnitude of their betrayal left me feeling a mix of anger, sadness, and disbelief.",Trying to solve this complex problem is leaving me feeling frustrated and overwhelmed.,"His aggressive nature seemed to consume him, leaving little room for reason or empathy.","His guilt whispered in his ear, a constant voice of self-condemnation and regret.","She yearned for a chance to make amends, to erase the regrets that plagued her","She felt a knot of fear tightening in her stomach, making it hard to breathe","She reveled in the power of vengeance, relishing the moment when her enemies would face their downfall.","He was consumed by a relentless hatred, a fire that raged unabated within him."
10,Why are you so jealous of his success?,Their incompetence and lack of effort make me want to scream in anger.,The empty room serves as a constant reminder of the sadness that fills my heart.,"Their betrayal felt like a dagger to my heart, leaving me emotionally scarred.",I feel frustrated when my voice is consistently overshadowed and ignored in group discussions.,The aggression in his tone sent shivers down the spines of those who dared to challenge him.,"The guilt overwhelmed him, flooding his mind with memories of his past mistakes.","Regret settled in his heart like a deep ache, a painful reminder of what could have been","The weight of fear pressed upon him, making it difficult to move or speak","Vengeance seeped into his very being, twisting his thoughts and clouding his judgment.","Hatred fueled his every move, propelling him forward with a single-minded determination."
11,Danny could be very jealous and possessive about me.,I'm so mad that they keep making the same mistakes over and over again.,Watching a heart-wrenching movie brought tears of sadness to my eyes.,"I never thought they would betray me, but their actions proved otherwise.",The constant changes in project requirements are causing frustration and confusion.,"She channeled her aggression into a physical outburst, pounding her fists against the wall in frustration.","She yearned for redemption, a chance to alleviate the guilt that consumed her.","The regrets piled up like a mountain, each one a painful reminder of his fallibility","His body trembled with fear, as if he stood on the edge of a precipice","She harnessed the energy of vengeance, channeling it into a force to be reckoned with.","She reveled in her hatred, finding solace in the power it gave her over her adversaries."
