sentences,emotion
She got insanely jealous and there was a terrible fight.,jealous
She was jealous of his wealth.,jealous
You are jealous because the record company rejected your idea.,jealous
It is important to be kind to a jealous friend.,jealous
I get jealous when a friend has success?,jealous
She messages me all the time but I still feel jealous and scared.,jealous
He fancies her like crazy and I feel so jealous.,jealous
"Of course, it is human nature you sometimes feel jealous.",jealous
See how your boyfriend behaves once he has no reason to feel jealous.,jealous
I was jealous of Mary is new bicycle.,jealous
Why are you so jealous of his success?,jealous
Danny could be very jealous and possessive about me.,jealous
He was jealous of Tom/of Tom's success.,jealous
"Jealousy seeps into my veins like a toxic poison, fueling my discontent.",jealous
I can't help but feel a pang of jealousy whenever I see someone else living the life I've always wanted.,jealous
"Jealousy twists my heart into knots, as I yearn for the success and happiness I see in others.",jealous
"I'm consumed by envy when I witness someone else effortlessly achieving their dreams, while I struggle to make progress.",jealous
"Jealousy casts a shadow over my accomplishments, as I compare myself to those who seem to have it all.",jealous
"I'm plagued by jealousy, constantly comparing myself to others and feeling inadequate in their presence.",jealous
"Though whips and chains wouldn't have gotten him to admit it, he was so insanely jealous of his brother's moment of glory",jealous
I can't help but feel jealous when I see others achieving what I desire.,jealous
The green-eyed monster of jealousy consumes me when I see someone else with what I want.,jealous
I feel a pang of jealousy whenever I see others living the life I've always dreamed of,jealous
Jealousy taints my thoughts when I witness someone else's success.,jealous
I can't help but feel a twinge of jealousy when others receive recognition for their accomplishments.,jealous
Jealousy creeps in when I compare myself to others and feel inadequate.,jealous
I'm filled with jealousy when I see someone in a happy and fulfilling relationship.,jealous
The feeling of jealousy intensifies when I see others receiving opportunities that I long for.,jealous
Jealousy seizes me when I witness someone else's natural talents and abilities.,jealous
I can't help but feel jealous of those who effortlessly attract attention and admiration.,jealous
Jealousy engulfs me when I see someone else living a life of luxury and privilege.,jealous
I'm consumed by jealousy when others receive the praise and recognition I crave.,jealous
Jealousy rears its ugly head when I see someone else excelling in an area where I struggle.,jealous
I feel a sense of jealousy when others effortlessly achieve the goals I've been striving for.,jealous
Jealousy gnaws at me when I see someone else enjoying the success I've been working so hard for.,jealous
I can't help but feel jealous when I witness someone else's perfect and enviable physique.,jealous
Jealousy takes hold of me when I see someone else with the loving and supportive relationships I desire.,jealous
I'm filled with jealousy when I see someone else traveling to exotic destinations I've always dreamed of.,jealous
Jealousy overwhelms me when I see someone else with the material possessions I covet.,jealous
I can't help but feel jealous of those who seem to effortlessly achieve their goals and dreams.,jealous
Jealousy consumes me when I see someone else receiving the opportunities I've been longing for.,jealous
I feel a pang of jealousy when I see someone else effortlessly attracting the attention and admiration of others.,jealous
Jealousy grips me when I witness someone else's accomplishments being celebrated while mine go unnoticed.,jealous
I'm filled with jealousy when I see someone else achieving the success I've been striving for.,jealous
Jealousy seeps into my thoughts when I witness someone else living the life I've always desired.,jealous
I can't help but feel jealous of those who have found their passion and purpose in life.,jealous
Jealousy taints my perspective when I see someone else with the loving and supportive relationships I long for.,jealous
I feel a twinge of jealousy when I witness someone else effortlessly attracting opportunities and good fortune.,jealous
Jealousy rears its head when I see someone else with the qualities and attributes I wish I possessed.,jealous
I'm consumed by jealousy when I see someone else effortlessly achieving their goals and aspirations.,jealous
Jealousy engulfs me when I witness someone else's picture-perfect life on social media.,jealous
I can't help but feel jealous when I see someone else being praised and recognized for their talents.,jealous
Jealousy gnaws at me when I witness someone else's success overshadowing my own achievements.,jealous
I'm filled with jealousy when I see someone else effortlessly attracting the opportunities I've been seeking.,jealous
Jealousy overwhelms me when I see someone else with the confidence and charisma that draws others in.,jealous
I can't help but feel jealous of those who effortlessly attract success and abundance into their lives.,jealous
Jealousy consumes me when I witness someone else's effortless charm and magnetism.,jealous
I feel a pang of jealousy when I see someone else with the close-knit and supportive circle of friends I desire.,jealous
Jealousy takes hold of me when I witness someone else's natural beauty and attractiveness.,jealous
I'm filled with jealousy when I see someone else effortlessly achieving a work-life balance I struggle to attain.,jealous
Jealousy grips me when I see someone else enjoying the fulfillment and happiness I've been longing for.,jealous
I can't help but feel jealous when I see someone else effortlessly mastering the skills I've been working hard to develop.,jealous
Jealousy taints my thoughts when I witness someone else's financial success and stability.,jealous
I feel a sense of jealousy when I see someone else effortlessly attracting opportunities and recognition.,jealous
Jealousy rears its ugly head when I witness someone else's perfect and harmonious family life.,jealous
I'm consumed by jealousy when I see someone else effortlessly achieving the balance and success I strive for.,jealous
Jealousy seizes me when I witness someone else's natural talent and flair for creativity.,jealous
I can't help but feel jealous of those who effortlessly attract love and affection from others.,jealous
Jealousy engulfs me when I see someone else receiving the praise and accolades I've been working hard for.,jealous
I'm filled with jealousy when I see someone else effortlessly achieving their dreams and aspirations.,jealous
Jealousy overwhelms me when I witness someone else's picture-perfect relationship on display.,jealous
I can't help but feel jealous when I see someone else effortlessly attracting the opportunities I've been seeking.,jealous
Jealousy gnaws at me when I witness someone else's achievements overshadowing my own.,jealous
I'm consumed by jealousy when I see someone else effortlessly attracting success and admiration.,jealous
Jealousy seeps into my thoughts when I witness someone else effortlessly living the life I've always dreamed of.,jealous
I can't help but feel jealous of those who have found their true calling and are making a meaningful impact.,jealous
Jealousy taints my perspective when I see someone else with the loving and supportive relationships I yearn for.,jealous
I feel a twinge of jealousy when I witness someone else effortlessly attracting opportunities and good fortune.,jealous
Jealousy rears its head when I see someone else with the qualities and attributes I wish I possessed.,jealous
I'm filled with jealousy when I see someone else effortlessly achieving their goals and aspirations.,jealous
He couldn't help but feel envious of his friend's success.,jealous
Seeing others achieve their goals filled her with a sense of envious longing.,jealous
Envy consumed him as he watched his coworker receive praise and recognition.,jealous
"She masked her envious thoughts with a forced smile, hiding her true emotions.",jealous
His heart burned with envy as he witnessed his rival's accomplishments.,jealous
Envious glances were exchanged between the two competitors on the stage.,jealous
She couldn't shake off the feeling of envy as her friend flaunted her new possessions.,jealous
"Envy welled up inside him like a bitter poison, tainting his interactions with others.",jealous
"It pained her to admit it, but envy gnawed at her heart whenever she saw happy couples.",jealous
"The green-eyed monster of envy reared its head, causing turmoil within his soul.",jealous
Envy twisted her features into a scowl as she watched her colleague receive a promotion.,jealous
"He couldn't help but compare himself to others, fueling his envious thoughts.",jealous
"The success of her peers ignited a fire of envy within her, driving her to work harder.",jealous
"Envy seeped into his thoughts, casting a shadow of discontent over his own achievements.",jealous
She found herself envious of the effortless grace displayed by the dancer on stage.,jealous
Envy tinged her words with bitterness as she congratulated her friend on her achievements.,jealous
"He couldn't escape the envious whispers that echoed in his mind, fueling his desire for more.",jealous
